Wavelength (nm)	Reflectance
380	0.4635054
385	0.4344227
390	0.4085708
395	0.3854351
400	0.3647804
405	0.3457506
410	0.3280437
415	0.3114242
420	0.2960256
425	0.2814042
430	0.2677362
435	0.2548917
440	0.2425861
445	0.2309951
450	0.2200986
455	0.2096858
460	0.2001289
465	0.1912085
470	0.1824246
475	0.1741859
480	0.166497
485	0.1592859
490	0.1526662
495	0.1464553
500	0.1407536
505	0.1353558
510	0.1304143
515	0.1257483
520	0.1215093
525	0.117592
530	0.1139837
535	0.1107062
540	0.107807
545	0.1051111
550	0.1026729
555	0.1005043
560	0.0986108
565	0.0969453
570	0.0954772
575	0.094233
580	0.0931825
585	0.0922537
590	0.0915664
595	0.0910555
600	0.0907001
605	0.0904367
610	0.0903312
615	0.0903082
620	0.0904792
625	0.0906984
630	0.0910299
635	0.0914758
640	0.0920481
645	0.0926042
650	0.0932845
655	0.0940283
660	0.0948842
665	0.0957882
670	0.0967111
675	0.097689
680	0.0987423
685	0.0999182
690	0.1010904
695	0.102281
700	0.1034827
705	0.1047218
710	0.1059704
715	0.1072482
720	0.1086215
725	0.1100206
730	0.1114084
735	0.1128273
740	0.1142549
745	0.1156419
750	0.1170113
755	0.1184224
760	0.1198826
765	0.1213467
770	0.1228368
775	0.1242745
780	0.125659
